Country Name	Country Code	Time	Time Code	GDP (constant 2010 US$) [NY.GDP.MKTP.KD]	GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]	GNI (constant 2010 US$) [NY.GNP.MKTP.KD]	GNI growth (annual %) [NY.GNP.MKTP.KD.ZG]	"Population, total [SP.POP.TOTL]"	Population growth (annual %) [SP.POP.GROW]	"Manufacturing, value added (constant 2010 US$) [NV.IND.MANF.KD]"	Medium and high-tech Industry (including construction) (% manufacturing value added) [NV.MNF.TECH.ZS.UN]	Households and NPISHs Final consumption expenditure (constant 2010 US$) [NE.CON.PRVT.KD]	Broad money (% of GDP) [FM.LBL.BMNY.GD.ZS]	"Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]"	Consumer price index (2010 = 100) [FP.CPI.TOTL]	"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"	Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]	Lending interest rate (%) [FR.INR.LEND]	"Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]"	"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]"	"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]"	"Net trade in goods and services (BoP, current US$) [BN.GSR.GNFS.CD]"	Military expenditure (% of central government expenditure) [MS.MIL.XPND.ZS]	Final consumption expenditure (constant 2010 US$) [NE.CON.TOTL.KD]
Sub-Saharan Africa (excluding high income)	SSA	2005	YR2005	1.04E+12	5.628755019	9.79E+11	5.293707478	765997649	2.721181768	1.03E+11	..	7.22E+11	39.72768269	..	..	..	5287376.951	..	59.00991	13.22380625	40.46519325	..	6.285801574	8.10E+11
Sub-Saharan Africa (excluding high income)	SSA	2015	YR2015	1.68E+12	3.105154735	1.62E+12	3.996568032	1005756630	2.740764438	1.62E+11	..	1.09E+12	37.13183725	..	..	..	..	..	63.61612	9.46686887	36.74262198	..	5.957652157	1.32E+12
South Sudan	SSD	1990	YR1990	..	..	..	..	5768481	-0.156192937	..	..	..	..	..	..	..	..	..	..	20.743	47.446	..	..	..
South Sudan	SSD	2005	YR2005	..	..	..	..	8108877	4.041959991	..	..	..	..	..	..	..	..	..	..	14.374	40.411	..	..	..
South Sudan	SSD	2015	YR2015	..	-0.174927114	..	..	11882136	2.999954993	..	..	..	38.26369444	4.089258333	331.8519003	..	..	13.78039389	..	11.244	36.315	-3697600000	25.56025829	..
Sub-Saharan Africa	SSF	1990	YR1990	6.34E+11	2.280172916	5.89E+11	2.530939115	512177101	2.825591496	85814341691	..	3.86E+11	33.95670145	..	..	..	3394980.001	..	52.23015	16.2254853	44.03895767	..	..	4.38E+11
Sub-Saharan Africa	SSF	2005	YR2005	1.04E+12	5.631241248	9.80E+11	5.293707478	766080507	2.720932194	1.03E+11	..	7.23E+11	39.80515986	..	..	..	5287376.951	..	59.01526	13.22325207	40.46281753	..	6.278764136	8.10E+11
Sub-Saharan Africa	SSF	2015	YR2015	1.68E+12	3.106489677	1.63E+12	3.996568032	1005850049	2.740719093	1.62E+11	..	1.09E+12	37.15831994	..	..	..	..	..	63.62022	9.466686196	36.74078837	..	5.954146285	1.32E+12
Small states	SST	1990	YR1990	..	..	..	..	25186921	1.86318365	..	..	..	42.19915277	..	..	..	241159.3184	..	77.32752	9.289460177	30.94369328	..	..	..
Small states	SST	2005	YR2005	2.87E+11	5.441499158	2.54E+11	6.026943717	31947386	1.853821081	31441723869	..	1.20E+11	50.67127952	..	..	..	307394.2947	..	83.04854	9.378402363	25.14657782	..	5.638224897	1.64E+11
Small states	SST	2015	YR2015	4.67E+11	2.486621614	4.62E+11	6.065785398	38960406	1.814266372	52132519475	..	1.89E+11	73.39664242	..	..	..	..	..	84.62552	7.482137689	22.80840392	..	..	2.75E+11
Sao Tome and Principe	STP	1990	YR1990	..	..	..	..	113893	2.009645498	..	..	..	..	0.143330917	..	..	97.473043	20	..	10.066	40.105	-14160000	..	..
Sao Tome and Principe	STP	2005	YR2005	148265553.2	7.093770447	..	..	155630	2.380484254	12110025.73	..	..	32.80941559	10.55797033	39.17185036	16.46999931	177.245483	31.19777778	..	8.185	38.647	-36719925.1	..	..
Sao Tome and Principe	STP	2015	YR2015	246519490.9	3.819988535	..	..	195553	2.216631309	18426593.96	..	..	40.74456234	22.09064456	153.9788301	..	..	23.30583333	..	6.806	34.326	-96054956.62	..	..
Suriname	SUR	1990	YR1990	2510412978	-0.488637259	..	..	407472	1.977847869	552967870.2	9.793814433	..	96.44424414	0.001785	0.104275105	15.64999962	10497.9035	..	..	7.243	27.582	..	..	..
Suriname	SUR	2005	YR2005	3547191376	4.570714921	..	..	498946	1.071162476	851063769.5	11.61950802	..	44.79901718	2.731666665	68.96658565	..	2577.0835	17.4	..	7.352	21.18	-125300000	..	..
Suriname	SUR	2015	YR2015	4772817086	-2.597529896	..	..	553208	0.959016955	771011732.3	11.61950802	..	64.51046748	3.416666667	139.1901762	7.21999979	..	12.61666667	..	7.254	18.448	-838499616	..	..
Slovak Republic	SVK	1990	YR1990	..	..	..	..	5299187	0.439617095	..	25.84816199	..	..	..	..	..	72262.4462	..	..	10.3	15.1	..	..	..
Slovak Republic	SVK	2005	YR2005	70976227122	6.750960834	68919780096	8.177634573	5372807	0.009809134	11703716417	36.12638439	42887111840	..	31.01825	86.80082044	..	48958.78596	6.675	..	10	10.1	-2653214126	4.227297661	56810992361
Slovak Republic	SVK	2015	YR2015	1.01E+11	3.850100604	99712563056	3.989295284	5423801	0.095033879	22756800048	48.18676756	52714682609	..	..	108.7366262	11.48079967	..	..	..	9.9	10.3	1376387561	2.479776848	71764944401
Slovenia	SVN	1990	YR1990	..	..	..	..	1998161	0.090624343	..	33.06802515	16062669472	..	..	3.720053503	4.699999809	19978.0218	..	..	9.3	11.2	..	..	21869262560
Slovenia	SVN	2005	YR2005	44069302645	4.003007364	43806938957	4.492275393	2000474	0.173208905	8057711775	42.29509892	23886372265	..	192.705468	86.81852293	..	22366.8829	7.8	..	9.4	9.1	-197600000	3.36811665	32558878826
Slovenia	SVN	2015	YR2015	48969999339	2.258902398	47849038224	0.020851858	2063531	0.075190689	8973398977	48.65157888	26197073628	..	..	105.9471152	8.962300301	..	..	..	9.6	10	3698882838	2.125366112	35596019057
Sweden	SWE	1990	YR1990	3.21E+11	0.754674751	3.14E+11	-0.097819627	8558835	0.772602676	34709094207	42.57187343	1.56E+11	..	5.91879	68.62717547	..	77170.66264	..	..	11.1	14.5	70153192.97	4.156905066	2.56E+11
Sweden	SWE	2005	YR2005	4.51E+11	2.818329618	4.58E+11	3.642312334	9029572	0.399942763	73948694125	53.59074075	2.04E+11	52.14449437	7.473088333	92.70567297	..	74562.6056	..	..	10.2	11.2	24798839623	2.741587435	3.18E+11
Sweden	SWE	2015	YR2015	5.43E+11	4.521969347	5.51E+11	3.819396202	9799186	1.057454686	72557509057	48.92327773	2.50E+11	66.90011096	8.434840833	103.5948172	7.431600094	..	..	..	9.3	11.7	24828863744	2.2053267	3.82E+11
Eswatini	SWZ	1990	YR1990	2342959992	21.01800054	2466199386	..	861373	3.387581123	785361054.6	1.681855637	1129165696	22.35534191	2.587320833	20.45718347	..	2261.6269	14.5	..	9.11	42.59	-109843354.7	6.323024055	1377305569
Eswatini	SWZ	2005	YR2005	3772877432	5.99877655	3995109605	12.09322941	1105873	0.983230437	1147005169	1.052406891	2972051227	17.16872561	6.359328333	69.45587093	..	2940.4136	10.625	..	15.501	32.223	-378398011.6	6.482687693	3645808682
Eswatini	SWZ	2015	YR2015	5175653651	0.391128861	5229601373	1.159882183	1319011	1.829661753	1630030525	1.654838263	3752432765	25.77105619	12.75893088	135.4152163	..	..	9.041666667	..	9.861	29.27	374691325.1	5.518776445	4844059134
Sint Maarten (Dutch part)	SXM	1990	YR1990	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Sint Maarten (Dutch part)	SXM	2005	YR2005	..	..	..	..	33011	1.597004887	..	..	..	..	..	89.2838172	..	..	..	..	3.4	12.8	..	..	..
Sint Maarten (Dutch part)	SXM	2015	YR2015	..	..	..	..	38824	2.977647481	..	..	..	..	1.79	..	..	..	..	..	4.6	..	82435754.19	..	..
Seychelles	SYC	1990	YR1990	524260678.4	6.99554469	..	8.516579746	69507	0.490359666	40561953.08	..	..	39.84037415	5.3369	37.66505421	..	365.272339	15.6475	..	7.7	23.1	-17938319.34	8.741721854	..
Seychelles	SYC	2005	YR2005	783031253.3	9.005761428	..	..	82858	0.463308214	86448455.05	..	..	96.76787038	5.5	54.10298184	5.5	..	9.769033333	..	8.1	18.5	-165223804.1	4.111675127	..
Seychelles	SYC	2015	YR2015	1231973526	4.937386459	..	..	93419	2.229795053	90606058.84	..	..	66.37218466	13.313925	120.9034201	4.151199818	..	12.3582003	..	7.5	17	-124182500.4	4.061341422	..
Syrian Arab Republic	SYR	1990	YR1990	..	7.640772323	..	8.623403992	12446171	2.982507861	..	9.36605317	..	54.69854059	11.225	33.38760679	..	48602.089	9	..	4.509	35.878	2074900000	24.29952137	..
Syrian Arab Republic	SYR	2005	YR2005	..	6.2	..	..	18294611	2.703522648	..	21.5193517	..	72.80423834	11.225	70.33436959	..	67605.9088	7.583333333	..	3.396	28.62	411000000	17.8393049	..
Syrian Arab Republic	SYR	2015	YR2015	..	..	..	..	18734987	-2.467846523	..	21.5193517	..	..	237.0291667	..	..	..	..	..	5.589	22.158	..	..	..
Turks and Caicos Islands	TCA	1990	YR1990	..	..	..	..	11552	4.741904779	..	..	..	..	..	..	..	2.39359482	..	..	..	..	..	..	..
Turks and Caicos Islands	TCA	2005	YR2005	..	..	..	..	26448	5.518534294	..	..	..	..	..	..	8.039999962	..	..	..	..	..	..	..	..
Turks and Caicos Islands	TCA	2015	YR2015	..	..	..	..	34339	1.762729622	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Chad	TCD	1990	YR1990	3080498134	-4.178472373	..	-4.644300169	5956859	3.220301902	..	..	..	14.80201983	272.264788	43.51498094	..	18338.288	13.375	..	19.001	50.995	-216480436	..	..
Chad	TCD	2005	YR2005	8407921035	17.33253374	..	22.06603562	10067009	3.610293104	..	..	..	7.21808333	527.4681428	85.62865706	..	123870.949	17.66666667	..	17.039	49.306	..	7.228124244	..
Chad	TCD	2015	YR2015	13486244396	2.767675685	13142075448	4.761656864	14009413	3.190940272	180994831.8	..	8806997441	15.80671535	591.4495075	115.905523	..	..	..	26.00299072	13.217	43.864	..	11.86644574	9283418416
East Asia & Pacific (IDA & IBRD countries)	TEA	1990	YR1990	1.52E+12	5.406076809	..	..	1584201525	1.619440535	..	..	..	67.68246895	..	..	2.606169034	6682114.376	..	79.52593	6.906710234	22.82819777	..	12.84359823	..
East Asia & Pacific (IDA & IBRD countries)	TEA	2005	YR2005	4.94E+12	9.719010973	4.79E+12	9.714836074	1871547818	0.806316656	..	..	..	130.972584	..	..	4.495511931	10387282.49	..	92.3994	6.604484926	15.05006465	..	9.748202193	2.79E+12
East Asia & Pacific (IDA & IBRD countries)	TEA	2015	YR2015	1.12E+13	6.493215447	1.11E+13	6.088254491	2013132699	0.722790132	..	..	..	182.5481254	..	..	..	..	..	95.1932	7.017705067	14.2237138	..	5.942296007	5.91E+12
Europe & Central Asia (IDA & IBRD countries)	TEC	1990	YR1990	2.71E+12	-1.407043384	2.85E+12	..	428318228	0.641310456	..	..	1.07E+12	..	..	..	..	6734455.523	..	95.93623	10.10286487	17.58167182	..	..	1.51E+12
Europe & Central Asia (IDA & IBRD countries)	TEC	2005	YR2005	3.01E+12	6.600663292	2.96E+12	6.497775644	435634937	0.089079489	4.37E+11	..	1.59E+12	37.08291374	..	..	..	4731329.894	..	97.67028	11.95741163	13.12612766	..	..	2.10E+12
Europe & Central Asia (IDA & IBRD countries)	TEC	2015	YR2015	4.27E+12	1.006081671	4.16E+12	1.361183004	452960829	0.541390514	6.17E+11	..	2.43E+12	56.6456641	..	..	7.388988479	..	..	98.89842	10.41899012	14.70997969	..	..	3.10E+12
Togo	TGO	1990	YR1990	2064662775	-0.243656136	..	0.85544646	3786940	2.691525728	154978048.5	..	2088257984	36.05003636	272.264788	39.95829094	..	13410.2559	..	..	12.045	42.327	-183916548.2	10.86618013	2418878367
Togo	TGO	2005	YR2005	2709052153	1.180406956	..	1.354969485	5683268	2.65074846	218279374	..	2708219228	27.15702893	527.4681428	77.64481872	..	32080.958	8.755833333	..	11.896	39.168	-357124889.8	8.1539635	3123337128
Togo	TGO	2015	YR2015	4046443148	5.384842189	4114309103	24.18240667	7416802	2.565901122	311817018.7	..	5222583096	53.30831425	591.4495075	110.3090269	..	..	5.154166667	63.74562073	8.827	34.532	-918044051	5.462204837	5971743891
Thailand	THA	1990	YR1990	1.42E+11	11.16716344	1.40E+11	11.1924464	56582821	1.401926379	32132291823	20.89642764	78356470521	76.16468239	25.58546242	49.75907971	2.210000038	208062.848	14.41666667	..	5.707	19.217	-6641008933	..	96302636036
Thailand	THA	2005	YR2005	2.84E+11	4.187834924	2.71E+11	4.057053805	65425470	0.649003981	84883190143	46.26757125	1.59E+11	104.117939	40.22013021	86.57076195	1.845900059	364315.701	4.719350058	93.50646973	7.107	12.884	-3470930000	2.247938619	1.98E+11
Thailand	THA	2015	YR2015	3.94E+11	3.020173993	3.74E+11	2.839816758	68657600	0.351383332	1.12E+11	40.70850438	2.01E+11	127.6845628	34.24771667	110.3433361	0.596700013	..	4.731874989	92.86830902	7.75	10.582	46038804868	1.2116297	2.66E+11
Tajikistan	TJK	1990	YR1990	6750421655	-0.599999631	..	..	5283728	2.567344766	..	2.703015302	9041788397	..	..	..	..	21668.05999	..	..	9.703	40.559	..	..	..
Tajikistan	TJK	2005	YR2005	4100868784	6.699997057	4249164225	7.601287984	6854176	2.083584227	..	2.527618663	3717239691	14.44710592	3.116566667	58.86707884	2	12218.0161	23.28486802	..	5.996	28.598	-428010200	..	4269832837
Tajikistan	TJK	2015	YR2015	7912816345	6	..	..	8548651	2.198677024	..	2.493635699	..	22.2919898	6.163116667	140.1519947	..	..	25.83626016	..	5.194	29.337	-2494957215	3.832218687	..
Turkmenistan	TKM	1990	YR1990	13679877892	35.38455811	..	..	3683966	2.698960343	..	..	..	..	..	..	..	81331.86526	..	..	8.811	35.465	..	..	..
Turkmenistan	TKM	2005	YR2005	13789041601	13.04036341	..	..	4754641	1.083596746	..	..	..	..	..	..	..	79175.65	..	..	7.467	22.968	..	..	..
Turkmenistan	TKM	2015	YR2015	37253652748	6.49999991	..	..	5565284	1.795683939	..	..	..	..	..	..	..	..	..	..	7.098	26.01	..	..	..
Latin America & the Caribbean (IDA & IBRD countries)	TLA	1990	YR1990	2.75E+12	0.528209168	..	..	430014112	1.907220142	4.65E+11	..	1.54E+12	26.26197155	..	..	..	3300749.623	..	84.00739	6.880247484	27.18841496	..	..	1.97E+12
Latin America & the Caribbean (IDA & IBRD countries)	TLA	2005	YR2005	4.27E+12	4.342854912	..	..	544459791	1.317957018	6.39E+11	..	2.60E+12	41.89679809	..	..	..	4661981.198	..	90.26876	5.747804164	20.23001538	..	4.418856785	3.25E+12
Latin America & the Caribbean (IDA & IBRD countries)	TLA	2015	YR2015	5.75E+12	0.042132848	..	..	614891969	1.1109228	7.06E+11	..	3.67E+12	62.68150841	..	..	..	..	..	93.08523	5.870315015	17.26835071	..	3.96337418	4.57E+12
Timor-Leste	TLS	1990	YR1990	..	..	..	..	751933	2.762656173	..	..	..	..	1	..	..	453.01726	..	..	15.601	43.419	..	..	..
Timor-Leste	TLS	2005	YR2005	2627411206	35.87967022	678260438.4	-45.04504194	1026484	2.944683404	..	..	608293990.6	4.297414	1	74.41154543	..	885.58214	..	..	7.008	39.352	..	3.048148148	960823902.8
Timor-Leste	TLS	2015	YR2015	3734284416	20.88076021	3731843220	49.09812379	1240977	2.295569323	..	..	734520236.9	20.68844056	1	142.7677921	..	..	13.49666667	..	5.635	35.504	-1228659498	2.364619322	1536351934
Middle East & North Africa (IDA & IBRD countries)	TMN	1990	YR1990	6.43E+11	12.99076956	6.38E+11	7.416598328	225925572	2.636623583	49178294849	..	3.05E+11	..	..	..	..	823836.2596	..	55.20591	7.406273356	33.86650376	..	..	4.04E+11
Middle East & North Africa (IDA & IBRD countries)	TMN	2005	YR2005	1.10E+12	4.500611828	1.09E+12	3.827861231	303274818	1.755844751	1.09E+11	..	5.55E+11	61.89604583	..	..	12.43034677	1407623.348	..	73.18728	5.610049788	23.95636155	..	10.54932355	7.17E+11
Middle East & North Africa (IDA & IBRD countries)	TMN	2015	YR2015	1.46E+12	0.858804575	1.44E+12	0.714643912	363027163	1.750039236	1.49E+11	..	8.18E+11	87.19795686	..	..	11.75690382	..	..	76.12811	5.310890276	24.13993174	..	11.85225731	1.03E+12
Tonga	TON	1990	YR1990	242101697.3	-2.044091435	..	..	95153	0.235687865	25922860.93	3.141505821	..	33.45972981	1.280928838	32.00512018	4.159999847	124.449085	..	..	5.966	31.307	-35844568.39	..	..
Tonga	TON	2005	YR2005	355816598.6	1.582168376	..	..	101041	0.630440864	25372915.92	1.610346075	..	47.62491342	1.943036217	76.74160624	..	153.79002	..	..	6.227	28.558	-103611704.3	..	..
Tonga	TON	2015	YR2015	392957799.6	3.71184687	..	..	106364	0.548680117	25647243.37	1.610346075	..	53.20834481	2.105763257	109.8734575	..	..	8.236841006	..	6.016	24.406	-195795514.3	..	..
South Asia (IDA & IBRD)	TSA	1990	YR1990	6.22E+11	5.421384405	6.20E+11	5.38007502	1133089464	2.22873711	85717746738	..	4.29E+11	40.37686674	..	..	..	1743930.297	..	45.42505	10.81998463	32.85442835	..	12.23102146	5.01E+11
South Asia (IDA & IBRD)	TSA	2005	YR2005	1.41E+12	8.77028593	1.41E+12	8.76297614	1512670560	1.659659542	2.10E+11	..	8.62E+11	62.68407917	..	..	..	2642160.945	..	60.60574	7.899227838	25.09418094	..	11.62718301	1.01E+12
South Asia (IDA & IBRD)	TSA	2015	YR2015	2.80E+12	7.605595983	2.79E+12	7.627155044	1744199944	1.298149475	4.63E+11	..	1.66E+12	73.61646869	..	..	..	..	..	70.27439	7.092719725	20.54939376	..	9.889350734	1.94E+12
Sub-Saharan Africa (IDA & IBRD countries)	TSS	1990	YR1990	6.34E+11	2.280172916	5.89E+11	2.530939115	512177101	2.825591496	85814341691	..	3.86E+11	33.95670145	..	..	..	3394980.001	..	52.23015	16.2254853	44.03895767	..	..	4.38E+11
Sub-Saharan Africa (IDA & IBRD countries)	TSS	2005	YR2005	1.04E+12	5.631241248	9.80E+11	5.293707478	766080507	2.720932194	1.03E+11	..	7.23E+11	39.80515986	..	..	..	5287376.951	..	59.01526	13.22325207	40.46281753	..	6.278764136	8.10E+11
Sub-Saharan Africa (IDA & IBRD countries)	TSS	2015	YR2015	1.68E+12	3.106489677	1.63E+12	3.996568032	1005850049	2.740719093	1.62E+11	..	1.09E+12	37.15831994	..	..	..	..	..	63.62022	9.466686196	36.74078837	..	5.954146285	1.32E+12
Trinidad and Tobago	TTO	1990	YR1990	7992098767	1.508415857	..	..	1221900	0.679609961	..	22.60776428	..	44.85630716	4.25	30.0536151	..	..	12.87	96.93855286	7.56	20.707	861929411.8	..	..
Trinidad and Tobago	TTO	2005	YR2005	18293696733	6.20899299	..	..	1296934	0.49461563	..	36.5285173	..	40.97005414	6.299558333	64.57551575	7.972599983	43922.03567	9.104166667	..	8.618	15.157	4624246810	2.708207831	..
Trinidad and Tobago	TTO	2015	YR2015	22883102658	1.517162962	..	..	1360092	0.412512995	..	39.59849921	..	66.56454062	6.377441667	133.630695	2.210799932	..	8.1825	..	9.491	13.956	2133397092	3.564474156	..
Tunisia	TUN	1990	YR1990	18338312910	7.949819436	17812672245	9.353872235	8232797	2.233795002	2969830831	9.388619638	9746839039	51.49613987	0.878333333	46.18871662	..	21219.0337	..	..	6.279	25.955	-835673624.3	..	12178049811
Tunisia	TUN	2005	YR2005	35279543594	3.486535815	33745320172	2.484312334	10102482	0.84374904	5823854271	9.829477967	18525635392	54.11354483	1.297433333	81.59420438	12.87220001	32172.81872	..	..	5.854	16.527	-132877733	6.006522384	23409269177
Tunisia	TUN	2015	YR2015	48148386195	1.153615837	..	..	11273661	1.157613914	7411985421	20.01468968	..	69.39776308	1.961625	126.7344897	15.21819973	..	..	..	6.357	18.647	-4726795386	7.87620414	..
Turkey	TUR	1990	YR1990	3.65E+11	9.266146671	3.59E+11	9.840634638	53921699	1.738392146	50433668931	26.34095165	2.41E+11	23.74023114	0.002608642	0.07164957	..	224459.0446	..	79.23245239	8.247	25.865	-4482000000	..	2.89E+11
Turkey	TUR	2005	YR2005	6.58E+11	9.009853214	6.51E+11	9.359695214	67903406	1.327634398	99075050129	30.69698893	4.17E+11	39.05593048	1.343583108	65.85295217	10.63599968	347595.11	..	88.22905731	5.989	19.521	-17064000000	7.419020152	5.03E+11
Turkey	TUR	2015	YR2015	1.09E+12	6.085886632	1.08E+12	5.826901718	78271472	1.598008534	1.76E+11	29.86226701	6.60E+11	52.71726148	2.720008528	146.0678251	10.23600006	..	..	95.60141754	5.814	16.533	-23900000000	5.525390664	8.05E+11
Tuvalu	TUV	1990	YR1990	21441966.96	..	..	..	9003	0.623957456	..	..	..	..	..	..	..	4.0320927	..	..	..	..	..	..	..
Tuvalu	TUV	2005	YR2005	29185727.24	-3.779729962	..	..	10027	1.335294174	248739.3161	..	..	..	..	..	6.5	5.0426927	..	..	..	..	-17585713.03	..	..
Tuvalu	TUV	2015	YR2015	38061023.84	9.142911919	..	..	11001	0.848971277	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Tanzania	TZA	1990	YR1990	12233334532	7.045071644	11790282362	..	25459604	3.188722462	743412252.4	17.54896661	7060264157	19.9032001	195.0559167	8.509022282	..	94958.046	..	..	14.993	44.117	-935639395.7	..	9538923300
Tanzania	TZA	2005	YR2005	23383020791	8.173335834	22898578487	7.750742954	39410545	2.989027812	1409371544	3.700035756	14906570128	22.24016596	1128.934179	66.3325466	..	269558.988	15.24894872	..	10.787	42.302	-1233237687	4.435198258	19209325355
Tanzania	TZA	2015	YR2015	43728220562	6.959314247	42991094572	6.311764412	53879957	3.100829308	2920559747	6.829756794	26263974265	24.34154211	1991.390964	158.0210063	..	..	16.10452076	77.88722992	7.015	38.64	-3698980693	6.363378384	32497822489
Uganda	UGA	1990	YR1990	5268749668	6.474140151	5169226660	5.911478564	17438907	3.458516211	267916469.9	8.346144089	4488923408	7.596571172	428.8546667	..	..	36900.522	38.66666667	..	18.374	50.003	-508500000	..	5222358862
Uganda	UGA	2005	YR2005	13703814498	6.332565116	13308786800	6.079977334	28543940	3.477315928	1227384858	11.06715693	10025094884	19.32293893	1780.665777	66.67894615	1.899999976	111346.724	19.6453884	..	12.454	47.494	-812386909.3	12.01656164	11695977390
Uganda	UGA	2015	YR2015	26260227907	5.187859863	25779292281	5.581854953	40144870	3.321555686	2112793470	11.06715693	20137813633	22.308259	3240.64542	149.4930088	..	..	22.60135727	..	8.874	42.631	-2608661062	9.910536614	22758925699
Ukraine	UKR	1990	YR1990	2.06E+11	-6.345235128	2.11E+11	..	51892000	0.229585786	26529029007	20.94577917	68087724614	..	..	..	..	953118.7193	..	..	12.1	12.7	..	..	94975069189
Ukraine	UKR	2005	YR2005	1.29E+11	2.699999975	1.28E+11	2.74015028	47105150	-0.732790732	16949230241	33.12440635	61322181940	43.96186571	5.124729	51.20200623	..	434668.759	16.17416667	..	16.6	9	674000000	6.332446371	84840193357
Ukraine	UKR	2015	YR2015	1.21E+11	-9.772973947	1.20E+11	-9.815088001	45154029	-0.260805738	12665456928	30.3631126	84662407379	49.98943905	21.84469777	180.499827	9.140000343	..	21.82294167	..	14.9	10.7	-2362000000	9.230797989	1.12E+11
Upper middle income	UMC	1990	YR1990	6.35E+12	1.874643071	..	..	2016620835	1.51447271	..	..	3.62E+12	45.77284471	..	..	..	12995324.22	..	81.5411	7.133769103	22.4441849	..	..	4.16E+12
Upper middle income	UMC	2005	YR2005	1.13E+13	7.060217415	1.08E+13	7.704771605	2352105140	0.762160903	..	..	5.97E+12	79.4424261	..	..	5.26364934	17380795.08	..	92.24621	7.131019198	14.88883052	..	7.579550375	7.30E+12
Upper middle income	UMC	2015	YR2015	1.95E+13	3.392452025	1.98E+13	4.403406913	2537437057	0.772734288	..	..	8.66E+12	145.4375301	..	..	..	..	..	94.78283	7.123112025	14.34303582	..	5.879672658	1.22E+13
Uruguay	URY	1990	YR1990	21388287457	0.297348378	20639218985	1.252892391	3109989	0.677695495	3955589775	19.70113728	12911299632	55.84337267	1.169484167	2.134982164	8.529999733	26111.56991	174.45	..	9.788	18.292	499090000	..	16368758783
Uruguay	URY	2005	YR2005	30157445133	7.460132106	29336236835	9.208601322	3325612	0.045595988	4113957861	11.36271456	19379326195	45.28475535	24.4786	70.54421614	12.00879955	32688.881	13.60952333	..	9.306	15.502	392623980.6	6.953236174	23326481606
Uruguay	URY	2015	YR2015	47559277163	0.370741267	46226615886	1.033837495	3431552	0.350484325	5903742218	15.28891327	32795389051	53.51792125	27.32736667	150.0997938	7.48789978	..	15.84108139	98.52387238	9.352	14.142	1683756265	5.62809354	38951747113
United States	USA	1990	YR1990	9.06E+12	1.919370297	9.09E+12	2.063279007	249623000	1.12965052	..	48.65404543	5.77E+12	71.02764086	1	59.91976049	5.599999905	6136093.5	10.00916667	..	8.6	16.7	-80852000000	..	7.53E+12
United States	USA	2005	YR2005	1.44E+13	3.345216063	1.45E+13	3.32322538	295516599	0.921713167	1.76E+12	49.31062409	9.69E+12	72.14977675	1	89.56053237	5.083499908	7182808.4	6.189166667	..	8.3	14	-7.14E+11	11.3797558	1.20E+13
United States	USA	2015	YR2015	1.67E+13	2.861587025	1.68E+13	2.648571803	321039839	0.755812955	1.90E+12	41.16643266	1.15E+13	89.42931152	1	108.695722	5.28000021	..	3.26	..	8.44	12.4	-5.00E+11	9.354809403	1.38E+13
Uzbekistan	UZB	1990	YR1990	20458470967	1.600000006	..	..	20510000	2.622449351	..	..	..	..	..	..	..	169357.5032	..	..	6.1	33.7	..	..	..
Uzbekistan	UZB	2005	YR2005	26085046320	7.000000005	25980345783	7.263308042	26167000	1.163350224	..	..	..	..	..	..	0.300000012	167568.4382	..	..	5.372602715	20.3894066	..	..	20549610332
Uzbekistan	UZB	2015	YR2015	57949061364	7.999999999	59199625232	5.055310046	31298900	1.744258375	..	..	..	..	..	..	5.150000095	..	..	99.98383331	4.9	23.5	..	..	39401452641
St. Vincent and the Grenadines	VCT	1990	YR1990	376752778.3	4.149922803	..	..	107505	0.392378491	37818987.93	..	..	60.44951341	2.7	58.0260626	..	140.6361373	12.875	..	6.654	24.84	-22100000	..	..
St. Vincent and the Grenadines	VCT	2005	YR2005	636858590	2.488004855	..	..	108744	0.170269204	39142580.07	..	..	69.94970858	2.7	80.91936408	..	261.000889	9.584125352	..	7.418	18.062	-90648927.78	..	..
St. Vincent and the Grenadines	VCT	2015	YR2015	720117944.9	1.822457378	..	..	109455	0.089574618	34068389.92	..	..	78.0999021	2.7	105.0728236	..	..	9.30275	..	7.115	15.77	-132136765.7	..	..
"Venezuela, RB"	VEN	1990	YR1990	2.35E+11	6.467940853	2.32E+11	10.67397845	19861956	2.413418559	32164684908	14.50086511	1.10E+11	31.04832002	0.046891667	..	..	210102.629	35.53166667	89.82524872	5.289	29.045	9355000000	4.752747253	1.25E+11
"Venezuela, RB"	VEN	2005	YR2005	3.28E+11	10.3179138	3.23E+11	12.5133365	26784161	1.720713047	51433331380	34.28246585	1.61E+11	23.69126639	2.08975	..	..	255157.645	16.80916667	..	5.081	22.202	27711000000	5.462873059	1.93E+11
